baseline_date,projected_fiscal_year,deficit_billions,GDP,deficit_pct_GDP,fiscal_balance_billions,fiscal_balance_pct_GDP,primary_balance_billions,primary_balance_pct_GDP,debt_billions,debt_pct_GDP
2019-01-01,2023,-1135.591,27397.95,-4.144802804589394,-1135.591,-4.144802804589394,-498.1779999999999,-1.8183039241987078,,
2019-05-01,2023,-1118.514,27397.95,-4.0824733237340745,-1118.514,-4.0824733237340745,-484.0550000000003,-1.7667562719108556,20910.0,76.31957865460737
2019-08-01,2023,-1178.458,27397.95,-4.3012634156935095,-1178.458,-4.3012634156935095,-672.4609999999993,-2.454420859954848,,
2020-01-01,2024,-1148.531,28947.9,-3.9675796862639423,-1148.531,-3.9675796862639423,-633.4219999999996,-2.188144908611677,,
2020-03-01,2024,-1137.723,28947.9,-3.930243644616708,-1137.723,-3.930243644616708,-619.9300000000003,-2.1415370372289537,22338.0,77.16621931124537
2020-09-01,2024,-1076.002,28947.9,-3.717029560002625,-1076.002,-3.717029560002625,-802.0949999999993,-2.7708227539821517,,
2021-02-01,2025,-1030.242,30362.025,-3.393192647723595,-1030.242,-3.393192647723595,-724.0340000000006,-2.3846696654785067,,
2021-07-01,2025,-989.782,30362.025,-3.259934078836968,-989.782,-3.259934078836968,-594.0209999999997,-1.956460413954602,26967.0,88.81818653400094
2022-05-01,2026,-1357.466,31902.0,-4.255112532129647,-1357.466,-4.255112532129647,-676.3530000000001,-2.1200959187511756,28925.093,90.66858817628989
2023-02-01,2027,-1704.48,33315.0,-5.116253939666817,-1704.48,-5.116253939666817,-801.7540000000008,-2.406585622092153,32645.29,97.98976437040372
2023-05-01,2027,-1707.404,33315.0,-5.125030766921808,-1707.404,-5.125030766921808,-795.232,-2.3870088548701784,32865.63,98.6511481314723
2024-02-01,2028,-1838.338,34666.0,-5.303000057693417,-1838.338,-5.303000057693417,-732.8999999999996,-2.114175272601395,35140.639,101.36917729187101
2024-06-01,2028,-1937.656,34666.0,-5.58949979807304,-1937.656,-5.58949979807304,-802.0479999999998,-2.3136444931633293,35959.838,103.73229677493798
2025-01-01,2029,-1931.362,36010.0,-5.363404609830603,-1931.362,-5.363404609830603,-684.1320000000005,-1.899838933629549,37580.5,104.36128853096362
